type,table_name,relationship,referenced_table,local_column,referenced_column,delete_rule,update_rule
Table,public.plugin_logs,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.plugin_migrations,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.plugin_state,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.plugin_webhook_deliveries,has FK to,public.plugins,plugin_id,id,CASCADE,NO ACTION
Table,public.principal_permission_grants,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.project_goals,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.project_goals,has FK to,public.goals,goal_id,id,CASCADE,NO ACTION
Table,public.project_goals,has FK to,public.projects,project_id,id,CASCADE,NO ACTION
Table,public.project_workspaces,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.project_workspaces,has FK to,public.projects,project_id,id,CASCADE,NO ACTION
Table,public.projects,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.projects,has FK to,public.goals,goal_id,id,NO ACTION,NO ACTION
Table,public.projects,has FK to,public.agents,lead_agent_id,id,NO ACTION,NO ACTION
Table,public.promptforge_analytics,has FK to,public.promptforge_experiments,experiment_id,id,SET NULL,NO ACTION
Table,public.promptforge_analytics,has FK to,public.promptforge_prompts,prompt_id,id,CASCADE,NO ACTION
Table,public.promptforge_compliance_checks,has FK to,public.promptforge_prompts,prompt_id,id,CASCADE,NO ACTION
Table,public.promptforge_experiments,has FK to,public.promptforge_prompts,prompt_id,id,CASCADE,NO ACTION
Table,public.promptforge_prompt_versions,has FK to,public.promptforge_prompts,prompt_id,id,CASCADE,NO ACTION
Table,public.promptforge_validation_results,has FK to,public.promptforge_prompts,prompt_id,id,CASCADE,NO ACTION
Table,public.promptforge_validation_results,has FK to,public.promptforge_validation_rules,rule_id,id,CASCADE,NO ACTION
Table,public.promptforge_workflow_executions,has FK to,public.promptforge_workflows,workflow_id,id,CASCADE,NO ACTION
Table,public.routine_runs,has FK to,public.companies,company_id,id,CASCADE,NO ACTION
Table,public.routine_runs,has FK to,public.issues,linked_issue_id,id,SET NULL,NO ACTION
Table,public.routine_runs,has FK to,public.routines,routine_id,id,CASCADE,NO ACTION
Table,public.routine_runs,has FK to,public.routine_triggers,trigger_id,id,SET NULL,NO ACTION
Table,public.routine_triggers,has FK to,public.companies,company_id,id,CASCADE,NO ACTION
Table,public.routine_triggers,has FK to,public.agents,created_by_agent_id,id,SET NULL,NO ACTION
Table,public.routine_triggers,has FK to,public.routines,routine_id,id,CASCADE,NO ACTION
Table,public.routine_triggers,has FK to,public.company_secrets,secret_id,id,SET NULL,NO ACTION
Table,public.routine_triggers,has FK to,public.agents,updated_by_agent_id,id,SET NULL,NO ACTION
Table,public.routines,has FK to,public.agents,assignee_agent_id,id,NO ACTION,NO ACTION
Table,public.routines,has FK to,public.companies,company_id,id,CASCADE,NO ACTION
Table,public.routines,has FK to,public.agents,created_by_agent_id,id,SET NULL,NO ACTION
Table,public.routines,has FK to,public.goals,goal_id,id,SET NULL,NO ACTION
Table,public.routines,has FK to,public.issues,parent_issue_id,id,SET NULL,NO ACTION
Table,public.routines,has FK to,public.projects,project_id,id,CASCADE,NO ACTION
Table,public.routines,has FK to,public.agents,updated_by_agent_id,id,SET NULL,NO ACTION
Table,public.session,has FK to,public.user,user_id,id,CASCADE,NO ACTION
Table,public.skill_usage_logs,has FK to,public.paperclip_issues,issue_id,id,SET NULL,NO ACTION
Table,public.skill_usage_logs,has FK to,public.superpowers_skills,skill_id,id,CASCADE,NO ACTION
Table,public.workspace_operations,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.workspace_operations,has FK to,public.execution_workspaces,execution_workspace_id,id,SET NULL,NO ACTION
Table,public.workspace_operations,has FK to,public.heartbeat_runs,heartbeat_run_id,id,SET NULL,NO ACTION
Table,public.workspace_runtime_services,has FK to,public.companies,company_id,id,NO ACTION,NO ACTION
Table,public.workspace_runtime_services,has FK to,public.execution_workspaces,execution_workspace_id,id,SET NULL,NO ACTION
Table,public.workspace_runtime_services,has FK to,public.issues,issue_id,id,SET NULL,NO ACTION
Table,public.workspace_runtime_services,has FK to,public.agents,owner_agent_id,id,SET NULL,NO ACTION
Table,public.workspace_runtime_services,has FK to,public.projects,project_id,id,SET NULL,NO ACTION
Table,public.workspace_runtime_services,has FK to,public.project_workspaces,project_workspace_id,id,SET NULL,NO ACTION
Table,public.workspace_runtime_services,has FK to,public.heartbeat_runs,started_by_run_id,id,SET NULL,NO ACTION
